Cap  	Organic 	Chimic 	Food response 	Profit      	Carbon emission 	Unmet 	CPU (s)
 100 	   0.85 	  0.15 	        0.679 	 7144825.72 	         300.0  	0.321 	  0.047
 200 	   0.33 	  0.67 	        0.771 	 8958161.36 	         594.69 	0.229 	  0.031
 300 	   0.27 	  0.73 	        0.787 	 9330265.69 	         900.0  	0.213 	  0.031
 400 	   0.0  	  1.0  	        0.787 	 9651373.94 	        1102.39 	0.213 	  0.016
 500 	   0.0  	  1.0  	        0.787 	 9652292.88 	        1099.52 	0.213 	  0.047
 600 	   0.0  	  1.0  	        0.787 	 9657372.74 	        1104.5  	0.213 	  0.047
 700 	   0.0  	  1.0  	        0.787 	 9657372.74 	        1104.5  	0.213 	  0.031
 800 	   0.34 	  0.66 	        0.884 	10021969.94 	        2400.0  	0.116 	  0.094
 900 	   0.11 	  0.89 	        0.928 	11234870.31 	        2700.0  	0.072 	  0.031
1000 	   0.72 	  0.28 	        0.949 	10295658.29 	        3000.0  	0.051 	  0.219
1100 	   0.0  	  1.0  	        1.0   	12116389.03 	        2999.73 	0.0   	  0.188
1200 	   0.0  	  1.0  	        1.0   	12116234.82 	        2989.66 	0.0   	  0.188
1300 	   0.05 	  0.95 	        1.0   	12162440.34 	        2962.51 	0.0   	  0.172
1400 	   0.0  	  1.0  	        1.0   	12230058.72 	        3000.29 	0.0   	  0.234
1500 	   0.0  	  1.0  	        1.0   	12237117.41 	        2997.64 	0.0   	  0.156
1600 	   0.0  	  1.0  	        1.0   	12231429.9  	        2991.82 	0.0   	  0.125
1700 	   0.0  	  1.0  	        1.0   	12234239.47 	        2994.57 	0.0   	  0.125
1800 	   0.0  	  1.0  	        1.0   	12234239.47 	        2994.57 	0.0   	  0.109
1900 	   0.0  	  1.0  	        1.0   	12300053.34 	        2993.39 	0.0   	  0.141
2000 	   0.0  	  1.0  	        1.0   	12300053.34 	        2993.39 	0.0   	  0.141
